id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;25/02/2000 00:00:00;2.467,29166667
NE;Nordeste;25/02/2000 00:00:00;5.837,14166667
S;Sul;25/02/2000 00:00:00;7.519,50833333
SE;Sudeste/Centro-Oeste;25/02/2000 00:00:00;27.427,14583333
N;Norte;26/02/2000 00:00:00;2.364,76666667
NE;Nordeste;26/02/2000 00:00:00;5.513,15000000
S;Sul;26/02/2000 00:00:00;6.667,82083333
SE;Sudeste/Centro-Oeste;26/02/2000 00:00:00;24.846,50833333
N;Norte;27/02/2000 00:00:00;2.281,35833333
NE;Nordeste;27/02/2000 00:00:00;5.069,68750000
S;Sul;27/02/2000 00:00:00;5.624,71666667
SE;Sudeste/Centro-Oeste;27/02/2000 00:00:00;22.359,49166667
N;Norte;28/02/2000 00:00:00;2.457,34583333
NE;Nordeste;28/02/2000 00:00:00;5.857,88750000
S;Sul;28/02/2000 00:00:00;7.223,26250000
SE;Sudeste/Centro-Oeste;28/02/2000 00:00:00;27.038,42083333
N;Norte;29/02/2000 00:00:00;2.466,12500000
NE;Nordeste;29/02/2000 00:00:00;6.073,99166667
S;Sul;29/02/2000 00:00:00;7.347,80416667
SE;Sudeste/Centro-Oeste;29/02/2000 00:00:00;27.465,01666667
N;Norte;01/03/2000 00:00:00;2.472,54583333
NE;Nordeste;01/03/2000 00:00:00;6.052,19583333
S;Sul;01/03/2000 00:00:00;7.344,59166667
SE;Sudeste/Centro-Oeste;01/03/2000 00:00:00;27.163,64166667
N;Norte;02/03/2000 00:00:00;2.451,92916667
NE;Nordeste;02/03/2000 00:00:00;6.018,39166667
S;Sul;02/03/2000 00:00:00;7.500,86250000
SE;Sudeste/Centro-Oeste;02/03/2000 00:00:00;27.254,63333333
N;Norte;03/03/2000 00:00:00;2.373,15833333
NE;Nordeste;03/03/2000 00:00:00;6.013,88333333
S;Sul;03/03/2000 00:00:00;7.428,86250000
SE;Sudeste/Centro-Oeste;03/03/2000 00:00:00;27.022,91666667
N;Norte;04/03/2000 00:00:00;2.349,99166667
