Data,Region,Average_Consumption,month,year,Average_Consumption_lag_1,Average_Consumption_lag_12,Average_Consumption_rolling_mean_3
2019-11-01,Nordeste,11085.56,11,2019,10696.64,10785.05,10629.716666666667
2019-12-01,Nordeste,11129.12,12,2019,11085.56,10447.94,10970.44
2019-12-01,Norte,5580.74,12,2019,5703.99,5137.02,5627.063333333333
2019-12-01,Sul,11626.44,12,2019,11552.51,11532.72,11516.333333333334
2019-12-01,Sudeste/CO,36887.27,12,2019,37089.43,38158.38,37298.31666666666
2020-01-01,Nordeste,10952.56,1,2020,11129.12,10930.89,11055.746666666666
2020-01-01,Sul,12599.13,1,2020,11626.44,12833.96,11926.026666666667
2020-01-01,Sudeste/CO,39577.57,1,2020,36887.27,42133.93,37851.42333333333
2020-01-01,Norte,5412.0,1,2020,5580.74,5298.13,5565.576666666667
2020-02-01,Nordeste,10995.71,2,2020,10952.56,11239.43,11025.796666666667
2020-02-01,Norte,5513.53,2,2020,5412.0,5503.67,5502.089999999999
2020-02-01,Sudeste/CO,39505.45,2,2020,39577.57,40667.0,38656.76333333333
2020-02-01,Sul,12781.99,2,2020,12599.13,12392.63,12335.853333333333
2020-03-01,Nordeste,10597.1,3,2020,10995.71,10848.0,10848.456666666667
2020-03-01,Norte,5347.47,3,2020,5513.53,5416.77,5424.333333333333
2020-03-01,Sudeste/CO,37954.85,3,2020,39505.45,38892.68,39012.62333333333
2020-03-01,Sul,12310.29,3,2020,12781.99,11542.73,12563.803333333331
2020-04-01,Nordeste,9592.04,4,2020,10597.1,10927.68,10394.949999999999
2020-04-01,Sul,10265.75,4,2020,12310.29,11319.71,11786.01
2020-04-01,Norte,4921.12,4,2020,5347.47,5364.51,5260.706666666667
2020-04-01,Sudeste/CO,32396.52,4,2020,37954.85,37888.03,36618.939999999995
2020-05-01,Nordeste,9470.41,5,2020,9592.04,10826.0,9886.516666666666
2020-05-01,Sudeste/CO,31278.08,5,2020,32396.52,35795.57,33876.48333333333
2020-05-01,Norte,5111.48,5,2020,4921.12,5514.03,5126.69
2020-05-01,Sul,10095.4,5,2020,10265.75,10705.12,10890.480000000001
2020-06-01,Nordeste,9441.39,6,2020,9470.41,9922.86,9501.28
2020-06-01,Norte,5286.12,6,2020,5111.48,5448.67,5106.239999999999
2020-06-01,Sudeste/CO,32643.98,6,2020,31278.08,34226.92,32106.193333333333
2020-06-01,Sul,10185.78,6,2020,10095.4,10502.5,10182.31
2020-07-01,Norte,5387.09,7,2020,5286.12,5374.95,5261.563333333333
2020-07-01,Sudeste/CO,33652.79,7,2020,32643.98,33569.62,32524.95
2020-07-01,Nordeste,9612.53,7,2020,9441.39,9820.86,9508.11
2020-07-01,Sul,10414.71,7,2020,10185.78,10699.2,10231.963333333333
2020-08-01,Norte,5753.43,8,2020,5387.09,5541.23,5475.546666666666
2020-08-01,Nordeste,9809.27,8,2020,9612.53,9774.33,9621.063333333334
2020-08-01,Sudeste/CO,34682.81,8,2020,33652.79,34180.65,33659.85999999999
2020-08-01,Sul,10424.31,8,2020,10414.71,10807.31,10341.6
2020-09-01,Nordeste,10132.21,9,2020,9809.27,10106.95,9851.336666666668
2020-09-01,Sudeste/CO,38260.49,9,2020,34682.81,36699.72,35532.03
2020-09-01,Sul,11012.74,9,2020,10424.31,10731.14,10617.253333333332
2020-09-01,Norte,5918.47,9,2020,5753.43,5662.78,5686.330000000001
2020-10-01,Norte,5961.54,10,2020,5918.47,5596.46,5877.813333333334
2020-10-01,Nordeste,11048.55,10,2020,10132.21,10696.64,10330.01
2020-10-01,Sudeste/CO,38984.22,10,2020,38260.49,37918.25,37309.17333333333
2020-10-01,Sul,11537.25,10,2020,11012.74,11370.05,10991.433333333332
2020-11-01,Sul,11927.27,11,2020,11537.25,11552.51,11492.42
2020-11-01,Nordeste,10790.93,11,2020,11048.55,11085.56,10657.229999999998
2020-11-01,Norte,5777.47,11,2020,5961.54,5703.99,5885.826666666668
2020-11-01,Sudeste/CO,37609.39,11,2020,38984.22,37089.43,38284.7
2020-12-01,Sudeste/CO,39185.01,12,2020,37609.39,36887.27,38592.87333333333
2020-12-01,Sul,11917.91,12,2020,11927.27,11626.44,11794.143333333333
2020-12-01,Nordeste,11165.52,12,2020,10790.93,11129.12,11001.666666666666
2020-12-01,Norte,5806.54,12,2020,5777.47,5580.74,5848.516666666666
2021-01-01,Sudeste/CO,40893.73,1,2021,39185.01,39577.57,39229.37666666667
2021-01-01,Sul,12380.84,1,2021,11917.91,12599.13,12075.340000000002
2021-01-01,Nordeste,11104.46,1,2021,11165.52,10952.56,11020.303333333335
2021-01-01,Norte,5519.24,1,2021,5806.54,5412.0,5701.083333333333
2021-02-01,Norte,5661.05,2,2021,5519.24,5513.53,5662.276666666668
2021-02-01,Sul,12689.41,2,2021,12380.84,12781.99,12329.386666666665
2021-02-01,Nordeste,11218.18,2,2021,11104.46,10995.71,11162.720000000001
2021-02-01,Sudeste/CO,40791.13,2,2021,40893.73,39505.45,40289.956666666665
2021-03-01,Sul,12923.32,3,2021,12689.41,12310.29,12664.523333333333
2021-03-01,Norte,5821.54,3,2021,5661.05,5347.47,5667.276666666666
2021-03-01,Sudeste/CO,41979.2,3,2021,40791.13,37954.85,41221.35333333333
2021-03-01,Nordeste,11499.67,3,2021,11218.18,10597.1,11274.103333333333
2021-04-01,Sul,12000.24,4,2021,12923.32,10265.75,12537.656666666668
2021-04-01,Sudeste/CO,38720.88,4,2021,41979.2,32396.52,40497.07
2021-04-01,Norte,6006.17,4,2021,5821.54,4921.12,5829.586666666667
2021-04-01,Nordeste,11163.71,4,2021,11499.67,9592.04,11293.853333333333
2021-05-01,Sudeste/CO,38155.86,5,2021,38720.88,31278.08,39618.64666666666
2021-05-01,Sul,11421.82,5,2021,12000.24,10095.4,12115.126666666669
2021-05-01,Norte,6008.31,5,2021,6006.17,5111.48,5945.34
2021-05-01,Nordeste,10767.94,5,2021,11163.71,9470.41,11143.773333333333
2021-06-01,Sul,11291.34,6,2021,11421.82,10185.78,11571.133333333333
2021-06-01,Nordeste,10967.23,6,2021,10767.94,9441.39,10966.293333333333
2021-06-01,Sudeste/CO,37596.18,6,2021,38155.86,32643.98,38157.63999999999
2021-06-01,Norte,5959.34,6,2021,6008.31,5286.12,5991.2733333333335
2021-07-01,Norte,5939.41,7,2021,5959.34,5387.09,5969.02
2021-07-01,Sul,11619.35,7,2021,11291.34,10414.71,11444.17
2021-07-01,Sudeste/CO,36489.12,7,2021,37596.18,33652.79,37413.72
2021-07-01,Nordeste,11038.13,7,2021,10967.23,9612.53,10924.433333333334
2021-08-01,Sul,11642.07,8,2021,11619.35,10424.31,11517.586666666668
2021-08-01,Norte,6283.03,8,2021,5939.41,5753.43,6060.593333333333
2021-08-01,Sudeste/CO,38117.23,8,2021,36489.12,34682.81,37400.84333333333
2021-08-01,Nordeste,11276.1,8,2021,11038.13,9809.27,11093.82
2021-09-01,Norte,6351.77,9,2021,6283.03,5918.47,6191.403333333333
2021-09-01,Sul,11449.04,9,2021,11642.07,11012.74,11570.153333333334
2021-09-01,Sudeste/CO,40340.28,9,2021,38117.23,38260.49,38315.543333333335
2021-09-01,Nordeste,11972.6,9,2021,11276.1,10132.21,11428.943333333335
2021-10-01,Norte,6170.16,10,2021,6351.77,5961.54,6268.32
