ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
530;NORTE;jan/11;3.793,57
531;SUDESTE/CO;jan/11;34.806,31
532;SUL;jan/11;9.772,79
533;NORDESTE;fev/11;8.087,94
534;NORTE;fev/11;3.863,92
535;SUDESTE/CO;fev/11;37.069,76
536;SUL;fev/11;9.969,09
537;NORDESTE;mar/11;8.291,75
538;NORTE;mar/11;3.938,36
539;SUDESTE/CO;mar/11;34.865,86
540;SUL;mar/11;9.624,80
541;NORDESTE;abr/11;8.203,19
542;NORTE;abr/11;4.035,89
543;SUDESTE/CO;abr/11;34.864,43
544;SUL;abr/11;8.916,48
545;NORDESTE;mai/11;8.002,64
546;NORTE;mai/11;4.098,87
547;SUDESTE/CO;mai/11;33.298,78
548;SUL;mai/11;8.847,45
549;NORDESTE;jun/11;7.924,34
550;NORTE;jun/11;4.034,11
551;SUDESTE/CO;jun/11;32.560,92
552;SUL;jun/11;8.890,49
553;NORDESTE;jul/11;7.866,23
554;NORTE;jul/11;3.941,90
555;SUDESTE/CO;jul/11;33.046,84
556;SUL;jul/11;8.996,59
557;NORDESTE;ago/11;8.138,98
558;NORTE;ago/11;4.078,85
559;SUDESTE/CO;ago/11;34.700,31
560;SUL;ago/11;9.301,97
561;NORDESTE;set/11;8.279,48
562;NORTE;set/11;4.127,87
563;SUDESTE/CO;set/11;34.834,44
564;SUL;set/11;9.115,00
565;NORDESTE;out/11;8.385,03
566;NORTE;out/11;4.062,89
567;SUDESTE/CO;out/11;34.381,73
568;SUL;out/11;9.247,77
569;NORDESTE;nov/11;8.408,75
570;NORTE;nov/11;4.041,62
571;SUDESTE/CO;nov/11;34.742,62
572;SUL;nov/11;9.591,62
573;NORDESTE;dez/11;8.525,97
574;NORTE;dez/11;4.067,70
575;SUDESTE/CO;dez/11;35.081,43
576;SUL;dez/11;9.818,17
577;NORDESTE;jan/12;8.608,90
578;NORTE;jan/12;4.004,55
579;SUDESTE/CO;jan/12;35.138,75
580;SUL;jan/12;10.168,29
581;NORDESTE;fev/12;8.541,47
582;NORTE;fev/12;4.072,52
